Word,uniqueID,defs_wordNet,n_synsets,rateGPTLaura,rateSandbox,ambigious_final,comment
antelope,antelope,graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks',1,,0,0,
antenna,antenna,an electrical device that sends or receives radio or television signals';;'sensitivity similar to that of a receptor organ';;'one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste',3,,[0 0],0,
anvil,anvil,a heavy block of iron or steel on which hot metals are shaped by hammering';;'the ossicle between the malleus and the stapes',2,,[0],0,
appetizer,appetizer,food or drink to stimulate the appetite (usually served before a meal or as the first course)',1,,0,0,
apple,apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh';;'native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits',2,,[0 0],0,
apple tree,apple_tree,any tree of the genus Malus especially those bearing firm rounded edible fruits',1,,0,0,
applesauce,applesauce,puree of stewed apples usually sweetened and spiced';;'nonsensical talk or writing',2,,[0 0],0,
apron,apron,"a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing';;'(golf) the part of the fairway leading onto the green';;'the part of a modern theater stage between the curtain and the orchestra (i.e., in front of the curtain)';;'a paved surface where aircraft stand while not being used'",4,,[0 0],0,
aquarium,aquarium,a tank or pool or bowl filled with water for keeping live fish and underwater animals',1,,0,0,
arch,arch,a curved shape in the vertical plane that spans an opening';;'a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)';;'a passageway under a curved masonry construction';;'(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it',4,,[0 0],0,
arm,arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb';;'any projection that is thought to resemble a human arm';;'any instrument or instrumentality used in fighting or hunting';;'the part of an armchair or sofa that supports the elbow and forearm of a seated person';;'a division of some larger or more complex organization';;'the part of a garment that is attached at the armhole and that provides a cloth covering for the arm',6,,[0 0],0,
armor,armor,protective covering made of metal and used in combat';;'a military unit consisting of armored fighting vehicles';;'tough more-or-less rigid protective covering of an animal or plant',3,,[0],0,
arrow,arrow,a mark to indicate a direction or relation';;'a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow',2,,[0],0,
artichoke,artichoke,Mediterranean thistlelike plant widely cultivated for its large edible flower head';;'a thistlelike flower head with edible fleshy leaves and heart',2,,[0 0],0,
arugula,arugula,erect European annual often grown as a salad crop to be harvested when young and tender',1,,0,0,
ashtray,ashtray,"""a receptacle for the ash from smokers' cigars or cigarettes""",1,,0,0,
asparagus,asparagus,plant whose succulent young shoots are cooked and eaten as a vegetable';;'edible young shoots of the asparagus plant',2,,[0],0,
avocado,avocado,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed';;'tropical American tree bearing large pulpy green fruits',2,,[0 0],0,
awning,awning,a canopy made of canvas to shelter people or things from rain or sun',1,,0,0,
axe,axe,an edge tool with a heavy bladed head mounted across a handle',1,,0,0,
baby,baby,a very young child (birth to 1 year) who has not yet begun to walk or talk';;'the youngest member of a group (not necessarily young)';;'an immature childish person';;'an unborn child; a human fetus';;'(slang) sometimes used as a term of address for attractive young women';;'a very young mammal';;'a project of personal concern to someone',7,,[0 0],0,
backdrop,backdrop,scenery hung at back of stage',1,,0,0,
backgammon,backgammon,a board game for two players; pieces move according to throws of the dice',1,,0,0,
backpack,backpack,a bag carried by a strap on your back or shoulder',1,,0,0,
backscratcher,backscratcher,someone who is willing to trade favors or services for mutual advantage';;'a long-handled scratcher for scratching your back',2,,[0],0,
bacon,bacon,back and sides of a hog salted and dried or smoked; usually sliced thin and fried';;'English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)';;'English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)',3,,[0 0],0,
badge,badge,an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)';;'any feature that is regarded as a sign of status (a particular power or quality or rank)',2,,[0 0],0,
badger,badger,a native or resident of Wisconsin';;'sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere',2,,[0],0,
bag,bag,a flexible container with a single opening';; 'the quantity of game taken in a particular period (usually by one person)';; 'a place that the runner must touch before scoring';; 'a container used for carrying money and small personal items or accessories (especially by women)';; 'the quantity that a bag will hold';; 'a portable rectangular container for carrying clothes';; 'an ugly or ill-tempered woman';; 'mammary gland of bovids (cows and sheep and goats)';; 'an activity that you like or at which you are superior',9,,0,0,typical
bagel,bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust',1,,0,0,
bagpipe,bagpipe,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone',1,,0,0,
baklava,baklava,rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey',1,,0,0,
balance beam,balance_beam,a gymnastic apparatus used by women gymnasts',1,,0,0,
balloon,balloon,large tough nonrigid bag filled with gas or heated air';;'small thin inflatable rubber bag with narrow neck',2,,[0 0],0,
ballot box,ballot_box,a box where voters deposit their ballots',1,,0,0,
bamboo,bamboo,the hard woody stems of bamboo plants; used in construction and crafts and fishing poles';;'woody tropical grass having hollow woody stems; mature canes used for construction and furniture',2,,[0],0,
banana,banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits';;'elongated crescent-shaped yellow fruit with soft sweet flesh',2,,[0 0],0,
banana peel,banana_peel,the skin of a banana (especially when it is stripped off and discarded)',1,,0,0,
banana split,banana_split,a banana split lengthwise and topped with scoops of ice cream and sauces and nuts and whipped cream',1,,0,0,
bandage,bandage,a piece of soft material that covers and protects an injured part of the body',1,,0,0,
bandanna,bandanna,large and brightly colored handkerchief; often used as a neckerchief',1,,0,0,
banjo,banjo,a stringed instrument of the guitar family that has long neck and circular body',1,,0,0,
bank,bank,0,,1,0,1,ambiguous
banner,banner,long strip of cloth or paper used for decoration or advertising';;'a newspaper headline that runs across the full page';;'any distinctive flag',3,,[0 0],2,web vs. physical
barbed wire,barbed_wire,strong wire with barbs at regular intervals used to prevent passage',1,,0,0,
barbell,barbell,a bar to which heavy discs are attached at each end; used in weightlifting',1,,0,0,
barcode,barcode,,,,0,0,
barnacle,barnacle,marine crustaceans with feathery food-catching appendages; free-swimming as larvae; as adults form a hard shell and live attached to submerged surfaces';; 'European goose smaller than the brant; breeds in the far north',2,,0,0,
barrel,barrel,a tube through which a bullet travels when a gun is fired';;'a cylindrical container that holds liquids';;'a bulging cylindrical shape; hollow with flat ends';;'the quantity that a barrel (of any size) will hold';;'any of various units of capacity',5,,[0 1],2,
barrette,barrette,"""a pin for holding women's hair in place""",1,,0,0,
baseball bat,baseball_bat,an implement used in baseball by the batter',1,,0,0,
baseball glove,baseball_glove,the handwear used by fielders in playing baseball',1,,0,0,
basil,basil,any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum';;'(Roman Catholic Church) the bishop of Caesarea who defended the Roman Catholic Church against the heresies of the 4th century; a saint and Doctor of the Church (329-379)';;'leaves of the common basil; used fresh or dried',3,,[0],0,
basket,basket,a container that is usually woven and has handles';;'the quantity contained in a basket';;'horizontal circular metal hoop supporting a net through which players try to throw the basketball';;'a score in basketball made by throwing the ball through the hoop',4,,[0 0],0,
basketball hoop,basketball_hoop,horizontal circular metal hoop supporting a net through which players try to throw the basketball',1,,0,0,
bassinet,bassinet,'a basket (usually hooded) used as a baby\'s bed\';;\'a perambulator that resembles a bassinet\'',2,,[2],0,
bassoon,bassoon,a double-reed instrument; the tenor of the oboe family',1,,0,0,
bat,bat1,0,,1,0,1,ambiguous
bat,bat2,0,,1,0,1,ambiguous
bathmat,bathmat,,,,0,0,
bathrobe,bathrobe,a loose-fitting robe of towelling; worn after a bath or swim',1,,0,0,
bathtub,bathtub,a relatively large open container that you fill with water and use to wash the body',1,,0,0,
baton,baton1,0,,1,0,1,ambiguous
baton,baton2,0,,1,0,1,ambiguous
baton,baton3,0,,1,0,1,ambiguous
baton,baton4,0,,1,0,1,ambiguous
bazooka,bazooka,a portable rocket launcher used by infantrymen as an antitank weapon',1,,0,0,
beachball,beachball,large and light ball; for play at the seaside',1,,0,0,
bead,bead,a small ball with a hole through the middle';;'a shape that is spherical and small';;'a beaded molding for edging or decorating furniture',3,,[0 0],0,
beaker,beaker,a flatbottomed jar made of glass or plastic; used for chemistry';;'a cup (usually without a handle)',2,,[0 0],0,
bean,bean,any of various edible seeds of plants of the family Leguminosae used for food';;'any of various seeds or fruits that are beans or resemble beans';;'any of various leguminous plants grown for their edible seeds and pods';;'informal terms for a human head',4,,[0 0],0,
beanbag,beanbag,a small cloth bag filled with dried beans; thrown in games',1,,0,0,
beanie,beanie,a small skullcap; formerly worn by schoolboys and college freshmen',1,,0,0,
bear,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws';;'an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price',2,,[0 0],0,
beard,beard,'the hair growing on the lower part of a man\'s face\';;\'a tuft or growth of hairs or bristles on certain plants such as iris or grasses\';;\'a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)\';;\'hairy growth on or near the face of certain mammals\';;\'tuft of strong filaments by which e.g. a mussel makes itself fast to a fixed surface\',5,,[0 0],0,
beaver,beaver,the soft brown fur of the beaver';;'a native or resident of Oregon';;'a full beard';;'a man's hat with a tall crown; usually covered with silk or with beaver fur';;'a movable piece of armor on a medieval helmet used to protect the lower face';;'a hat made with the fur of a beaver (or similar material)';;'large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges',7,,[0],0,
bed,bed,a piece of furniture that provides a place to sleep';; 'a plot of ground in which plants are growing';; 'a depression forming the ground under a body of water';; '(geology) a stratum of rock (especially sedimentary rock)';; 'a stratum of ore or coal thick enough to be mined with profit';; 'single thickness of usually some homogeneous substance';; 'the flat surface of a printing press on which the type form is laid in the last stage of producing a newspaper or magazine or book etc.';; 'a foundation of earth or rock supporting a road or railroad track',8,,0,0,typical
bedpan,bedpan,a shallow vessel used by a bedridden patient for defecation and urination',1,,0,0,
bedpost,bedpost,any of 4 vertical supports at the corners of a bedstead',1,,0,0,
bee,bee,any of numerous hairy-bodied insects including social and solitary species';;'a social gathering to carry out some communal task or to hold competitions',2,,[0 0],0,
beehive,beehive,any workplace where people are very busy';;'a structure that provides a natural habitation for bees; as in a hollow tree';;'a hairdo resembling a beehive';;'a man-made receptacle that houses a swarm of bees',4,,[0 0],0,
beer,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops',1,,0,0,
beet,beet,biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop';;'round red root vegetable',2,,[0 0],0,
beetle,beetle,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings';;'a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing',2,,[0 0],0,
bell,bell,"a hollow device made of metal that makes a ringing sound when struck';; 'a push button at an outer door that gives a ringing or buzzing signal when pushed';; 'the sound of a bell being struck';; '(nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m.';; 'the shape of a bell';; 'a phonetician and father of Alexander Graham Bell (1819-1905)';; 'English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961)';; 'United States inventor (born in Scotland) of the telephone (1847-1922)';; 'a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument';; 'the flared opening of a tubular device'",1,,0,0,typical
bell pepper,bell_pepper,plant bearing large mild thick-walled usually bell-shaped fruits; the principal salad peppers';;'large bell-shaped sweet pepper in green or red or yellow or orange or black varieties',2,,[0 0],0,
belt,belt,endless loop of flexible material between two rotating shafts or pulleys';;'a band to tie or buckle around the body (usually at the waist)';;'an elongated region where a specific condition or characteristic is found';;'a vigorous blow';;'a path or strip (as cut by one course of mowing)';;'ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun';;'the act of hitting vigorously',7,,[0 0],0,
belt buckle,belt_buckle,the buckle used to fasten a belt',1,,0,0,
bench,bench,a long seat for more than one person';;'a level shelf of land interrupting a declivity (with steep slopes above and below)';;'persons who administer justice';;'a strong worktable for a carpenter or mechanic';;'the magistrate or judge or judges sitting in court in judicial capacity to compose the court collectively';;'the reserve players on a team';;'(law) the seat for judges in a courtroom',7,,[0],0,
bib,bib,top part of an apron; covering the chest';;'a napkin tied under the chin of a child while eating',2,,[0],0,
bikini,bikini,'an atoll in the Marshall Islands; formerly used by the United States as a site for testing nuclear weapons\';;\'a woman\'s very brief bathing suit,2,,[0 0],0,
bin,bin,a container; usually has a lid';;'the quantity contained in a bin';;'an identification number consisting of a two-part code assigned to banks and savings associations; the first part shows the location and the second identifies the bank itself',3,,[0 0],0,
binder,binder,a machine that cuts grain and binds it in sheaves';;'something used to bind separate particles together or facilitate adhesion to a surface';;'holds loose papers or magazines';;'something used to tie or bind',4,,[0 0],0,
binoculars,binoculars,an optical instrument designed for simultaneous use by both eyes',1,,0,0,
bird,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings';;'the flesh of a bird or fowl (wild or domestic) used as food';;'informal terms for a (young) woman';;'a cry or noise made to express displeasure or contempt';;'badminton equipment consisting of a ball of cork or rubber with a crown of feathers',5,,[0 0],0,
birdbath,birdbath,an ornamental basin (usually in a garden) for birds to bathe in',1,,0,0,
birdcage,birdcage,a cage in which a bird can be kept',1,,0,0,
birdhouse,birdhouse,a shelter for birds',1,,0,0,
birthday cake,birthday_cake,decorated cake served at a birthday party',1,,0,0,
biscuit,biscuit,'small round bread leavened with baking-powder or soda\';;\'any of various small flat sweet cakes (`biscuit\' is the British term),2,,[0],0,
bison,bison,any of several large humped bovids having shaggy manes and large heads and short horns',1,,0,0,
blackberry,blackberry,large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus';;'bramble with sweet edible black or dark purple berries that usually do not separate from the receptacle',2,,[0 0],0,
blanket,blanket,bedding that keeps a person warm in bed';;'anything that covers';;'a layer of lead surrounding the highly reactive core of a nuclear reactor',3,,[0 0],0,
blazer,blazer,lightweight single-breasted jacket; often striped in the colors of a club or school',1,,0,0,
blender,blender,an electrically powered mixer with whirling blades that mix or chop or liquefy foods',1,,0,0,
blimp,blimp,any elderly pompous reactionary ultranationalistic person (after the cartoon character created by Sir David Low)';;'a small nonrigid airship used for observation or as a barrage balloon',2,,[0 0],0,
blind,blind,"people who have severe visual impairments, considered as a group';;'a hiding place sometimes used by hunters (especially duck hunters)';;'a protective covering that keeps things out or hinders sight';;'something intended to misrepresent the true nature of an activity'",4,,[0],0,
blinder,blinder,blind consisting of a leather eyepatch sewn to the side of the halter that prevents a horse from seeing something on either side',1,,0,0,
blindfold,blindfold,a cloth used to cover the eyes',1,,0,0,
blouse,blouse,a top worn by women',1,,0,0,
blower,blower,"a device that produces a current of air';;'a fan run by an electric motor';;'large aquatic carnivorous mammal with fin-like forelimbs no hind limbs, including: whales; dolphins; porpoises; narwhals'",3,,[0],0,
blowfish,blowfish,delicacy that is highly dangerous because of a potent nerve poison in ovaries and liver';;'any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species contain a potent nerve poison; closely related to spiny puffers',2,,[0 0],0,
blowgun,blowgun,a tube through which darts can be shot by blowing',1,,0,0,
blowtorch,blowtorch,a burner that mixes air and gas to produce a very hot flame',1,,0,0,
blueberry,blueberry,any of numerous shrubs of the genus Vaccinium bearing blueberries';;'sweet edible dark-blue berries of either low-growing or high-growing blueberry plants',2,,[0],0,
boar,boar,Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States';;'an uncastrated male hog',2,,[0 0],0,
board game,board_game,a game played on a specially designed board',1,,0,0,
boat,boat,a small vessel for travel on water';;'a dish (often boat-shaped) for serving gravy or sauce',2,,[0],0,
bobsled,bobsled,formerly two short sleds coupled together';;'a long racing sled (for 2 or more people) with a steering mechanism',2,,[0 0],0,
bok choy,bok_choy,Asiatic plant grown for its cluster of edible white stalks with dark green leaves';;'elongated head of dark green leaves on thick white stalks',2,,[0 0],0,
bolo tie,bolo_tie,a cord fastened around the neck with an ornamental clasp and worn as a necktie',1,,0,0,
bolt,bolt,a discharge of lightning accompanied by thunder';;'a sliding bar in a breech-loading firearm that ejects an empty cartridge and replaces it and closes the breech';;'the part of a lock that is engaged or withdrawn with a key';;'the act of moving with great haste';;'a roll of cloth or wallpaper of a definite length';;'a screw that screws into a nut to form a fastener';;'a sudden abandonment (as from a political party)',7,,[0 1],0,
bomb,bomb,an explosive device fused to explode under specific conditions';;'strong sealed vessel for measuring heat of combustion';;'an event that fails badly or is totally ineffectual',3,,[0 0],0,
bone,bone,rigid connective tissue that makes up the skeleton of vertebrates';;'the porous calcified substance from which bones are made';;'a shade of white the color of bleached bones',3,,[0 0],0,
bongo,bongo,a small drum; played with the hands';;'large forest antelope of central Africa having a reddish-brown coat with white stripes and spiral horns',2,,[0 0 0],0,
bonnet,bonnet,a hat tied under the chin';;'protective covering consisting of a metal part that covers the engine',2,,[0 0],0,
bonsai,bonsai,a dwarfed ornamental tree or shrub grown in a tray or shallow pot',1,,0,0,
book,book,a written work or composition that has been published (printed on pages bound together)';; 'physical objects consisting of a number of pages bound together';; 'a compilation of the known facts regarding something or someone';; 'a written version of a play or other dramatic composition; used in preparing for a performance';; 'a record in which commercial accounts are recorded';; 'a collection of playing cards satisfying the rules of a card game';; 'a collection of rules or prescribed standards on the basis of which decisions are made';; 'the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina';; 'the sacred writings of the Christian religions';; 'a major division of a long written composition';; 'a number of sheets (ticket or stamps etc.) bound together on one edge',11,,0,0,typical
bookmark,bookmark,"""a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place""",1,,0,0,
bookshelf,bookshelf,a shelf on which to keep books',1,,0,0,
boomerang,boomerang,a curved piece of wood; when properly thrown will return to thrower';;'a miscalculation that recoils on its maker',2,,[0 0],0,
boot,boot,footwear that covers the whole foot and lower leg';;'British term for the luggage compartment in a car';;'the swift release of a store of affective force';;'protective casing for something that resembles a leg';;'an instrument of torture that is used to heat or crush the foot and leg';;'a form of foot torture in which the feet are encased in iron and slowly crushed';;'the act of delivering a blow with the foot',7,,[0 0],0,
bottle,bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped';;'the quantity contained in a bottle';;'a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children',3,,[0 0],0,
bottle opener,bottle_opener,an opener for removing caps or corks from bottles',1,,0,0,
boulder,boulder,a large smooth mass of rock detached from its place of origin';;'a town in north central Colorado; Rocky Mountains resort center and university town',2,,[1 0],0,
bouquet,bouquet,an arrangement of flowers that is usually given as a present';;'a pleasingly sweet olfactory property',2,,[0],0,
bow,bow1,0,,1,0,1,ambiguous
bow,bow2,0,,1,0,1,ambiguous
bow,bow3,0,,1,0,1,ambiguous
bowl,bowl,a round vessel that is open at the top; used chiefly for holding food or liquids';; 'a concave shape with an open top';; 'a dish that is round and open at the top for serving foods';; 'the quantity contained in a bowl';; 'a large structure for open-air sports or entertainments';; 'a large ball with finger holes used in the sport of bowling';; 'a wooden ball (with flattened sides so that it rolls on a curved course) used in the game of lawn bowling';; 'a small round container that is open at the top for holding tobacco';; 'the act of rolling something (as the ball in bowling)',9,,0,0,typical
bowler hat,bowler_hat,a felt hat that is round and hard with a narrow brim',1,,0,0,
bowling ball,bowling_ball,a large ball with finger holes used in the sport of bowling',1,,0,0,
bowtie,bowtie,"""a man's tie that ties in a bow""",1,,0,0,
boxer shorts,boxer_shorts,,,,0,0,
boxing gloves,boxing_gloves,boxing equipment consisting of big and padded coverings for the fists of the fighters; worn for the sport of boxing',1,,0,0,
boy,boy,a youthful male person';; 'a friendly informal reference to a grown man';; 'a male human offspring';; '(ethnic slur) offensive and disparaging term for Black man',4,,0,0,
bra,bra,an undergarment worn by women to support their breasts',1,,0,0,
bracelet,bracelet1,0,,1,0,1,ambiguous
bracelet,bracelet2,0,,1,0,1,ambiguous
braid,braid,a hairdo formed by braiding or twisting the hair';;'trimming used to decorate clothes or curtains',2,,[0 0],0,
brake,brake,a restraint used to slow or stop a vehicle';;'any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants';;'large coarse fern often several feet high; essentially weed ferns; cosmopolitan';;'an area thickly overgrown usually with one kind of plant';;'anything that slows or hinders a process',5,,[0 0],0,
branch,branch,"a division of some larger or more complex organization';;'a division of a stem, or secondary stem arising from the main stem of a plant';;'a part of a forked or branching shape';;'a natural consequence of development';;'a stream or river connected to a larger one';;'any projection that is thought to resemble a human arm'",6,,[0 1],0,
brass knuckles,brass_knuckles,a small metal weapon; worn over the knuckles on the back of the hand',1,,0,0,
bread,bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked';;'informal terms for money',2,,[0 0],0,
breadbox,breadbox,a container used to keep bread or cake in',1,,0,0,
breadstick,breadstick,a crisp stick-shaped roll; often served with soup',1,,0,0,
breakfast,breakfast,the first meal of the day (usually in the morning)',1,,0,0,
breathalyzer,breathalyzer,"""a device that measures chemicals (especially the alcohol content) in a person's expired breath""",1,,0,0,
brick,brick,rectangular block of clay baked by the sun or in a kiln; used as a building or paving material';;'a good fellow; helpful and trustworthy',2,,[0 0],0,
briefcase,briefcase,a case with a handle; for carrying papers or files or books',1,,0,0,
broccoli,broccoli,plant with dense clusters of tight green flower buds';;'branched green undeveloped flower heads',2,,[0 0],0,
brooch,brooch,a decorative pin worn by women',1,,0,0,
broom,broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle';;'any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers';;'common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere',3,,[0 0],0,
brownie,brownie,a junior Girl Scout';;'(folklore) fairies that are somewhat mischievous';;'square or bar of very rich chocolate cake usually with nuts',3,,[0 0],0,
brush,brush,a dense growth of bushes';; 'an implement that has hairs or bristles firmly set into a handle';; 'momentary contact';; 'conducts current between rotating and stationary parts of a generator or motor';; 'a bushy tail or part of a bushy tail (especially of the fox)';; 'a minor short-term fight';; 'the act of brushing your teeth';; 'the act of brushing your hair';; 'contact with something dangerous or undesirable',9,,0,0,typical
brussels sprouts,brussels_sprouts,the small edible cabbage-like buds growing along a stalk of the brussels sprout plant';;'plant grown for its stout stalks of edible small green heads resembling diminutive cabbages',2,,[0 0],0,
bubble,bubble,"a hollow globule of gas (e.g., air or carbon dioxide)';;'a speculative scheme that depends on unstable factors that the planner cannot control';;'an impracticable and illusory idea';;'a dome-shaped covering made of transparent glass or plastic'",4,,[0 0],0,
bubble wrap,bubble_wrap,,,,0,0,
bucket,bucket,a roughly cylindrical vessel that is open at the top';;'the quantity contained in a bucket',2,,[0 0],0,
buckle,buckle,fastener that fastens together two ends of a belt or strap; often has loose prong';;'a shape distorted by twisting or folding',2,,[0 0],0,
buffet,buffet,a piece of furniture that stands at the side of a dining room; has shelves and drawers';;'a meal set out on a buffet at which guests help themselves';;'usually inexpensive bar',3,,[1 0],0,
bug,bug,"general term for any insect or similar creeping or crawling invertebrate';;'a fault or defect in a computer program, system, or machine';;'a small hidden microphone; for listening secretly';;'insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis';;'a minute life form (especially a disease-causing bacterium); the term is not in technical use'",5,,[1 0],0,
buggy,buggy,0,,1,0,1,ambiguous
bulldozer,bulldozer,large powerful tractor; a large blade in front flattens areas of ground',1,,0,0,
bullet,bullet,a projectile that is fired from a gun';;'a high-speed passenger train';;'(baseball) a pitch thrown with maximum velocity',3,,[0 0],0,
bulletin board,bulletin_board,a computer that is running software that allows users to leave messages and access information of general interest';;'a board that hangs on a wall; displays announcements',2,,[0 0],0,
bulletproof vest,bulletproof_vest,a vest capable of resisting the impact of a bullet',1,,0,0,
bumper,bumper,a glass filled to the brim (especially as a toast)';;'a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage',2,,[0 0],0,
bun,bun,small rounded bread either plain or sweet',1,,0,0,
bungee,bungee,an elasticized rope',1,,0,0,
bunkbed,bunkbed,,,,0,0,
buoy,buoy,bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards',1,,0,0,
